idcliente,cash,airlines,travelagencies,casinos,internet,drugstores,gasstations,hotels,other,autorental,restaurants,supermarkets,electronics,departmentstores,globalamount
500001,0,0,0,0,0,0,240,0,0,0,1043.76,4784.16,0,0,6067.92
500002,0,10698.24,0,0,0,0,0,22165.68,3594,0,0,8639.28,0,3347.28,48444.48
500003,0,0,0,0,0,0,0,0,0,0,773.52,3628.08,0,0,4401.6
500004,15120,0,0,0,0,107.28,0,0,0,0,0,7132.32,0,1438.8,23798.4
500005,240,0,0,0,0,0,1320,0,0,0,10668.96,0,2785.2,0,15014.16
500006,21600,0,0,0,0,2389.2,0,0,10128,0,1800,11945.28,1680,5269.92,54812.4
500007,0,0,0,0,0,0,0,1962,0,0,0,3638.64,0,0,5600.64
500008,0,0,0,0,0,0,0,0,0,0,0,254.64,0,0,254.64
500009,0,0,0,0,0,3249.36,0,0,1068,0,3729.36,560.88,1631.52,2317.2,12556.32
500010,46560,0,0,0,0,1042.32,0,0,0,0,808.8,6772.8,1661.76,1739.52,58585.2
500011,0,0,0,0,0,0,0,0,0,0,0,15269.28,0,0,15269.28
500012,0,0,0,0,0,0,0,0,0,0,0,3275.52,0,659.52,3935.04
500013,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,48000
500014,0,0,0,0,0,0,0,0,240,0,0,4485.36,0,8030.88,12756.24
500015,0,0,0,0,0,0,0,0,0,0,0,1860.72,0,0,1860.72
500016,0,20880,0,0,0,0,1938.72,0,0,0,785.76,2190.48,4019.04,1211.52,31025.52
500017,0,0,0,0,0,0,0,0,0,0,0,10537.92,0,0,10537.92
500018,0,0,0,0,22416,0,0,0,980.64,0,936,6932.64,676.32,2904,34845.6
500019,2880,9593.04,0,0,0,1371.84,7418.88,0,303.36,0,177.12,25910.64,7398.96,2658.24,57712.08
500020,0,0,0,0,0,0,1440,0,0,0,287.52,18024.72,0,438.48,20190.72
500021,0,0,0,0,0,1557.84,2010,0,0,0,0,966,0,0,4533.84
500022,16800,0,0,0,10026.72,0,0,0,20522.16,0,0,11214.72,1436.4,1711.2,61711.2
500023,0,0,0,0,0,1109.76,0,0,0,0,208.08,1304.4,0,1919.52,4541.76
500024,0,0,0,62160,0,0,360,0,0,0,0,1425.84,813.6,0,64759.44
500025,0,12359.28,0,0,0,0,480,0,0,0,220.32,818.4,2753.28,1207.92,17839.2
500026,9600,0,0,0,0,0,0,0,0,0,0,0,0,0,9600
500027,62880,0,0,0,0,0,600,2640,5184,0,0,1353.6,0,474.96,73132.56
500028,60000,0,24000,0,0,0,0,0,0,0,0,19499.28,0,0,103499.28
500029,12000,0,0,0,0,0,0,0,0,0,212.4,4225.92,0,184.8,16623.12
500030,2640,0,0,0,0,0,138.48,0,0,0,927.6,304.8,3044.88,1196.88,8252.64
500031,44556.96,0,0,0,0,96.96,0,0,0,0,556.08,5384.4,0,0,50594.4
500032,16440,0,0,0,0,0,3240,315.6,0,0,396,2089.44,0,390.96,22872
500033,0,0,0,0,0,0,0,0,23676,0,0,0,0,2159.76,25835.76
500034,14160,0,0,0,0,0,240,4224,0,0,2780.88,4179.84,0,0,25584.72
500035,0,0,0,0,0,0,0,0,0,0,712.8,27339.36,0,0,28052.16
500036,48000,0,0,0,0,684.48,11569.68,0,3296.88,0,12542.64,59476.08,3258.24,7152.96,145980.96
500037,0,0,0,0,0,0,448.8,1981.44,0,0,1599.36,11937.36,0,1330.8,17297.76
500038,720,0,0,0,0,0,2810.4,0,0,0,0,2895.36,2674.08,160.8,9260.64
500039,14400,0,0,0,0,25264.56,0,0,2397.6,0,335.76,6933.12,9840,184.56,59355.6
500040,0,0,0,0,0,0,1200,0,0,0,0,3608.16,0,0,4808.16
500041,0,0,0,0,0,0,106.56,0,0,0,937.92,384,0,191.76,1620.24
500042,0,0,0,0,0,0,1320,0,478.8,0,606,32499.84,0,0,34904.64
500043,3840,0,0,8477.04,0,576.96,8329.92,0,192.96,0,6138.72,0,6588,0,34143.6
500044,9480,0,0,0,0,0,6672,312,0,0,6194.16,11208,2044.08,0,35910.24
500045,17520,0,0,0,0,2154.72,10752.48,9820.56,1396.08,0,10549.2,13387.92,8489.52,639.12,74709.6
500046,14400,0,0,0,0,0,0,0,0,0,0,4642.32,0,0,19042.32
500047,6000,0,0,0,0,0,0,0,0,0,2286.48,8417.28,840,3002.88,20546.64
500048,0,9360,0,0,0,0,6906.72,0,0,0,2010.48,10354.56,0,4363.68,32995.44
500049,60000,0,0,0,0,0,0,0,0,0,0,10962,0,0,70962
500050,0,0,0,0,0,406.08,720,0,0,0,0,301.44,0,0,1427.52
500051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500052,0,0,0,0,0,2031.36,240,0,0,0,0,0,1534.8,0,3806.16
500053,0,0,0,0,0,3562.56,0,0,684,0,0,0,1440,2292.48,7979.04
500054,12000,21589.2,0,0,0,0,0,0,0,0,0,0,0,0,33589.2
500055,11400,0,0,0,0,0,0,0,0,0,0,7330.08,11784,0,30514.08
500056,12000,0,0,0,0,0,240,0,0,0,0,0,0,0,12240
500057,31200,0,0,0,0,0,0,0,0,0,0,0,23573.76,0,54773.76
500058,28800,0,0,0,0,0,4644,960,0,0,3013.44,450,2190.24,0,40057.68
500059,2400,0,0,0,1723.2,0,3120,0,141.6,0,0,292.8,599.76,0,8277.36
500060,9600,0,0,0,0,0,13501.68,1824,0,0,322.56,379.2,720,0,26347.44
500061,13200,0,0,0,0,2018.4,600,0,0,0,0,3322.56,1271.28,2084.16,22496.4
500062,0,0,0,0,0,0,4662,0,0,0,543.6,8573.76,38495.04,708,52982.4
