idcliente,gender,marital,yearborn
500001,2,1,1952
500002,1,2,1961
500003,1,2,1949
500004,1,1,1971
500005,1,2,1975
500006,1,2,1953
500007,1,1,1965
500008,2,2,1948
500009,2,2,1976
500010,2,3,1969
500011,1,2,1955
500012,1,1,1965
500013,2,5,1968
500014,2,5,1943
500015,2,1,1952
500016,2,3,1979
500017,1,2,1962
500018,2,2,1956
500019,1,2,1955
500020,1,2,1970
500021,1,2,1976
500022,1,2,1948
500023,1,2,1967
500024,2,3,1969
500025,1,3,1977
500026,1,2,1959
500027,1,2,1962
500028,1,2,1948
500029,2,2,1958
500030,1,1,1978
500031,1,2,1977
500032,1,2,1961
500033,2,2,1972
500034,1,2,1974
500035,1,2,1956
500036,1,2,1959
500037,1,2,1980
500038,1,2,1976
500039,1,2,1958
500040,1,3,1957
500041,1,1,1974
500042,1,2,1950
500043,2,2,1953
500044,1,2,1958
500045,1,2,1967
500046,2,2,1957
500047,1,2,1979
500048,1,2,1968
500049,1,2,1974
500050,2,2,1972
500051,1,2,1980
500052,2,2,1965
500053,1,2,1949
500054,1,1,1967
500055,1,1,1942
500056,1,1,1959
500057,1,2,1955
500058,1,2,1969
500059,1,2,1941
500060,1,2,1964
500061,2,1,1969
500062,1,2,1956
500063,1,2,1961
500064,1,1,1954
500065,1,2,1972
500066,1,2,1955
500067,1,2,1962
500068,1,1,1955
500069,1,3,1940
500070,1,2,1975
500071,1,2,1960
500072,1,2,1958
500073,2,1,1954
500074,1,2,1957
500075,1,2,1948
500076,2,2,1961
500077,2,2,1957
500078,1,2,1942
500079,2,2,1971
500080,1,2,1980
500081,2,3,1953
500082,1,2,1971
500083,1,2,1965
500084,2,1,1971
500085,1,1,1964
500086,1,2,1969
500087,1,2,1957
500088,1,2,1951
500089,2,2,1961
500090,1,2,1965
500091,1,2,1981
500092,2,2,1960
500093,1,1,1953
500094,1,1,1980
500095,2,2,1973
500096,2,4,1963
500097,1,2,1972
500098,1,2,1969
500099,1,2,1962
500100,1,2,1973
500101,1,1,1979
500102,1,2,1973
500103,1,2,1969
500104,2,2,1978
500105,1,2,1975
500106,1,1,1955
500107,1,2,1968
500108,2,2,1975
500109,1,2,1945
500110,1,1,1941
500111,2,2,1947
500112,1,1,1961
500113,1,2,1965
